"subID"	"mode"	"trial"	"choice"	"reaction_time"	"reward"	"condition"	"reward_prob_1"	"reward_prob_2"	"payoff_1"	"payoff_2"
"02"	"main"	64	1	0.466995800030418	1	1	0.51746526747761	0.560305780952636	1	1
"02"	"main"	65	1	0.539171200012788	0	0	0.590323363542731	0.48845822531535	0	0
"02"	"main"	66	0	0.482542400015518	0	0	0.592687065368938	0.383879183802933	0	0
"02"	"main"	67	0	0.560972000006586	1	0	0.58924031324363	0.381747507619132	1	0
"02"	"main"	68	0	0.393088600016199	1	0	0.727502686452927	0.324306692712727	1	0
"02"	"main"	69	0	0.587701899989042	0	0	0.798098041342449	0.354191505079017	0	1
"02"	"main"	70	0	0.661254600039683	1	0	0.769515334621779	0.383505458471255	1	0
"02"	"main"	71	0	0.348833500000183	0	0	0.665364536110592	0.412817177867354	0	1
"02"	"main"	72	1	0.401019400043879	1	0	0.607366195511558	0.431039872074443	1	1
"02"	"main"	73	1	0.402972499956377	0	0	0.594239791388308	0.483238078737103	1	0
"02"	"main"	74	1	0.451603599998634	0	0	0.589686914891419	0.525766234996639	0	0
"02"	"main"	75	1	0.384986600023694	0	0	0.642577814277618	0.43966694642038	1	0
"02"	"main"	76	1	0.266926100011915	1	1	0.730027467478255	0.395708791004312	1	1
"02"	"main"	77	0	0.431178300001193	0	0	0.718655019614009	0.424261688642449	0	0
"02"	"main"	78	1	0.383524899953045	0	0	0.730571802690875	0.432145925689092	1	0
"02"	"main"	79	1	0.326511099992786	1	0	0.737094261581743	0.430767658249591	0	1
"02"	"main"	80	1	0.328888999996707	0	0	0.5	0.5	0	0
"02"	"main"	81	0	0.251567500003148	1	0	0.513284052484818	0.529381893465876	1	0
"02"	"main"	82	0	0.452808899979573	0	0	0.464237721337896	0.496110214648747	0	1
